Student_ID,Programming,DSA,DBMS,OS,Computer_Networks,OOP,Web_Development,Python,Java,AI_ML,Cloud_Computing,DevOps,SQL,Git_GitHub,Communication,Teamwork,Problem_Solving,Internship,Certifications,Industry_Alignment_Score,Employability_Status
S001,2,4,2,4,4,4,2,4,3,2,2,2,2,2,4,4,2,No,0,49,0
S002,8,9,10,9,8,8,10,9,9,9,8,8,9,8,8,9,8,Yes,6,88,1
S003,8,9,7,8,7,9,8,9,9,8,9,7,9,7,7,9,7,Yes,2,98,1
S004,3,3,4,3,2,3,3,2,4,3,4,4,4,2,4,4,2,No,0,59,0
S005,8,8,8,6,8,7,6,6,6,7,7,7,6,6,8,8,7,Yes,5,83,1
S006,8,7,7,9,9,9,8,9,9,8,9,8,8,7,7,9,8,Yes,5,79,1
S007,6,8,7,8,6,7,7,8,7,8,7,8,6,8,8,6,8,No,3,95,1
S008,5,5,4,5,4,6,6,5,6,4,6,4,6,5,6,6,6,No,1,42,0
S009,7,9,8,8,7,7,8,8,7,7,7,9,7,7,9,8,7,Yes,6,91,1
S010,4,5,5,4,3,5,5,5,3,5,4,4,5,5,4,4,5,Yes,1,45,0
S011,8,8,6,8,6,6,6,8,8,6,6,6,6,7,6,8,6,Yes,4,75,1
S012,9,9,8,7,8,8,7,7,7,9,8,8,8,8,8,9,7,Yes,3,98,1
S013,2,2,2,2,4,3,2,3,2,3,3,2,2,3,4,2,2,Yes,2,56,0
S014,3,3,3,2,3,2,2,3,2,3,3,3,3,3,4,4,4,No,0,45,0
S015,5,7,7,7,5,7,6,5,5,7,6,7,7,5,5,7,5,Yes,1,48,0
S016,3,2,4,2,4,4,2,4,2,3,4,4,4,4,3,3,2,No,2,50,0
S017,6,6,5,5,5,4,4,5,6,6,4,4,6,4,6,5,4,No,1,43,0
S018,2,3,4,4,3,4,4,4,2,4,4,3,4,2,2,3,2,No,1,53,0
S019,5,4,3,5,5,4,5,4,4,3,3,5,4,4,3,3,4,No,2,48,0
S020,6,4,4,4,6,4,6,4,5,6,6,4,5,4,4,5,5,Yes,1,62,0
S021,4,2,3,4,3,4,4,2,2,2,2,3,2,2,4,3,3,No,0,50,0
S022,4,3,4,3,3,4,4,4,3,3,3,5,3,4,4,4,3,No,2,41,0
S023,6,6,5,4,4,5,4,6,5,4,4,6,5,5,6,5,5,No,2,60,0
S024,3,2,4,3,2,4,4,4,4,4,4,4,2,3,3,2,4,No,2,47,0
S025,6,5,6,5,5,5,6,5,6,4,4,5,6,5,6,6,4,No,0,54,0
S026,5,4,5,6,6,6,5,5,5,5,6,4,6,5,6,4,6,No,0,54,0
S027,8,8,10,9,8,8,8,8,8,8,9,10,8,9,9,10,10,Yes,6,85,1
S028,8,10,10,8,8,9,8,8,10,10,9,8,10,8,8,9,8,Yes,5,82,1
S029,5,6,5,4,6,5,5,5,4,6,5,6,5,6,4,5,5,No,1,67,0
S030,9,7,7,7,7,8,9,7,9,7,7,8,8,8,9,8,8,Yes,4,85,1
S031,7,9,8,8,7,8,8,8,8,9,9,9,9,9,7,8,7,Yes,6,97,1
S032,9,8,9,7,8,7,9,9,7,8,9,9,9,7,7,9,8,Yes,4,96,1
S033,8,7,8,8,8,8,8,8,8,7,8,7,9,9,7,8,7,Yes,4,87,1
S034,2,4,2,2,2,3,4,2,4,2,3,4,3,3,2,4,4,No,0,47,0
S035,2,4,2,3,4,4,3,3,4,2,2,4,4,4,2,2,4,No,0,54,0
S036,3,4,3,4,3,2,4,4,3,2,3,3,2,3,3,4,3,No,2,37,0
S037,7,7,6,6,6,7,7,6,6,5,5,6,6,5,6,7,7,Yes,2,52,0
S038,5,4,5,5,5,5,6,6,5,6,4,6,4,4,4,6,5,Yes,1,46,0
S039,6,6,7,6,7,8,6,7,8,8,7,7,8,8,7,7,8,Yes,5,89,1
S040,8,7,7,9,7,8,7,9,9,9,7,7,7,9,8,8,9,Yes,4,84,1
S041,9,8,9,8,9,8,10,10,8,9,8,8,10,9,10,8,10,Yes,2,81,1
S042,6,6,6,6,5,5,6,6,5,5,6,6,5,7,7,7,5,Yes,0,53,0
S043,8,10,9,10,10,10,8,10,9,9,9,9,10,9,9,10,10,No,2,82,1
